date,value
2020-01-01,10.0
2020-01-02,10.0
2020-01-03,10.0
2020-01-04,10.0
2020-01-05,10.0
2020-01-06,10.0
2020-01-07,10.0
2020-01-08,10.0
2020-01-09,10.0
2020-01-10,10.0
2020-01-11,10.0
2020-01-12,10.0
2020-01-13,10.0
2020-01-14,10.0
2020-01-15,10.0
2020-01-16,10.0
2020-01-17,10.0
2020-01-18,10.0
2020-01-19,10.0
2020-01-20,10.0
2020-01-21,20.0
2020-01-22,20.0
2020-01-23,20.0
2020-01-24,20.0
2020-01-25,20.0
2020-01-26,20.0
2020-01-27,20.0
2020-01-28,20.0
2020-01-29,20.0
2020-01-30,20.0
2020-01-31,20.0
